S,I,R,S2I,I2R
329064930.0,1.0,0.0,0.0,0.0
329064930.0,1.0,0.0,0.0,0.0
329064930.0,2.0,0.0,1.0,0.0
329064930.0,2.0,0.0,0.0,0.0
329064930.0,5.0,0.0,3.0,0.0
329064930.0,5.0,0.0,0.0,0.0
329064930.0,5.0,0.0,0.0,0.0
329064930.0,6.0,0.0,1.0,0.0
329064930.0,6.0,0.0,0.0,0.0
329064930.0,8.0,0.0,2.0,0.0
329064930.0,8.0,0.0,0.0,0.0
329064930.0,8.0,0.0,0.0,0.0
329064930.0,11.0,0.0,3.0,0.0
329064930.0,11.0,0.0,0.0,0.0
329064930.0,11.0,0.0,0.0,0.0
329064930.0,12.0,0.0,1.0,0.0
329064930.0,12.0,0.0,0.0,0.0
329064930.0,12.0,0.0,0.0,0.0
329064930.0,9.0,3.0,0.0,3.0
329064930.0,9.0,3.0,0.0,0.0
329064930.0,10.0,3.0,1.0,0.0
329064930.0,10.0,3.0,0.0,0.0
329064930.0,11.0,3.0,1.0,0.0
329064930.0,11.0,3.0,0.0,0.0
329064930.0,11.0,3.0,0.0,0.0
329064930.0,11.0,3.0,0.0,0.0
329064930.0,11.0,3.0,0.0,0.0
329064930.0,11.0,3.0,0.0,0.0
329064930.0,11.0,3.0,0.0,0.0
329064930.0,11.0,3.0,0.0,0.0
329064930.0,11.0,5.0,0.0,2.0
329064930.0,11.0,5.0,0.0,0.0
329064930.0,11.0,5.0,0.0,0.0
329064930.0,11.0,5.0,0.0,0.0
329064930.0,10.0,6.0,0.0,1.0
329064930.0,10.0,6.0,0.0,0.0
329064930.0,11.0,6.0,1.0,0.0
329064930.0,10.0,7.0,0.0,1.0
329064900.0,17.0,8.0,7.0,1.0
329064900.0,24.0,8.0,7.0,0.0
329064900.0,42.0,13.0,18.0,5.0
329064860.0,60.0,14.0,18.0,1.0
329064800.0,89.0,18.0,29.0,4.0
329064740.0,165.0,19.0,76.0,1.0
329064670.0,216.0,21.0,51.0,2.0
329064500.0,379.0,24.0,163.0,3.0
329064420.0,491.0,28.0,112.0,4.0
329064320.0,565.0,29.0,74.0,1.0
329064160.0,746.0,36.0,181.0,7.0
329063780.0,1106.0,41.0,360.0,5.0
329063330.0,1531.0,55.0,425.0,14.0
329062720.0,2156.0,63.0,625.0,8.0
